epoch,step,train_loss,val_acc,val_loss
0,49,2.15478515625,,
0,99,2.062255859375,,
0,149,2.0018310546875,,
0,199,1.87890625,,
0,249,1.66546630859375,,
0,299,1.92559814453125,,
0,349,1.7027587890625,,
0,399,1.718505859375,,
0,449,2.153564453125,,
0,499,1.74090576171875,,
0,549,1.8663330078125,,
0,599,1.832550048828125,,
0,649,1.784820556640625,,
0,699,1.60748291015625,,
0,749,1.555877685546875,,
0,799,1.390411376953125,,
0,849,1.70977783203125,,
0,899,1.370208740234375,,
0,949,1.800323486328125,,
0,999,1.52166748046875,,
0,1049,1.540435791015625,,
0,1099,1.86065673828125,,
0,1149,1.731689453125,,
0,1199,2.4002685546875,,
0,1249,1.1811676025390625,,
0,1299,1.93280029296875,,
0,1349,1.7060546875,,
0,1399,1.93939208984375,,
0,1449,1.652099609375,,
0,1499,2.0023193359375,,
0,1549,1.384185791015625,,
0,1599,1.6287841796875,,
0,1649,1.556549072265625,,
0,1699,1.536865234375,,
0,1749,1.2619171142578125,,
0,1799,1.8021621704101562,,
0,1849,1.688812255859375,,
0,1899,1.3571014404296875,,
0,1949,1.1883468627929688,,
0,1999,1.697998046875,,
0,2049,1.120574951171875,,
0,2099,1.99566650390625,,
0,2149,2.03759765625,,
0,2199,1.322265625,,
0,2249,1.412109375,,
0,2299,1.663726806640625,,
0,2349,2.31219482421875,,
0,2399,0.8426971435546875,,
0,2449,1.904052734375,,
0,2499,1.499114990234375,,
0,2549,1.9271240234375,,
0,2599,1.569976806640625,,
0,2649,2.05438232421875,,
0,2699,1.917236328125,,
0,2749,1.4940261840820312,,
0,2799,2.221343994140625,,
0,2849,1.677947998046875,,
0,2899,1.0713386535644531,,
0,2949,1.6389617919921875,,
0,2999,0.6601409912109375,,
0,3049,1.9537811279296875,,
0,3099,1.15478515625,,
0,3149,1.3608474731445312,,
0,3199,1.5699462890625,,
0,3249,1.8153953552246094,,
0,3299,1.784912109375,,
0,3349,1.2309627532958984,,
0,3399,1.3339996337890625,,
0,3449,1.82666015625,,
0,3499,1.7509765625,,
0,3549,1.8526992797851562,,
0,3599,1.195281982421875,,
0,3649,0.7109584808349609,,
0,3699,1.6038856506347656,,
0,3749,1.0873565673828125,,
0,3799,1.23895263671875,,
0,3849,1.4984283447265625,,
0,3899,0.9521961212158203,,
0,3932,,0.4776656925678253,1.3943318128585815
1,3949,1.3027801513671875,,
1,3999,0.9504814147949219,,
1,4049,1.242422103881836,,
1,4099,1.651458740234375,,
1,4149,0.5754966735839844,,
1,4199,0.7883758544921875,,
1,4249,1.5315437316894531,,
1,4299,1.282379150390625,,
1,4349,1.0322895050048828,,
1,4399,1.4444732666015625,,
1,4449,2.058879852294922,,
1,4499,0.9583206176757812,,
1,4549,1.3531494140625,,
1,4599,1.2413520812988281,,
1,4649,1.7664318084716797,,
1,4699,1.3954029083251953,,
1,4749,1.3038902282714844,,
1,4799,1.0597724914550781,,
1,4849,1.5313873291015625,,
1,4899,0.9813919067382812,,
1,4949,1.5453166961669922,,
1,4999,1.455169677734375,,
1,5049,1.3714618682861328,,
1,5099,1.1216888427734375,,
1,5149,0.8798789978027344,,
1,5199,1.1804065704345703,,
1,5249,1.3781166076660156,,
1,5299,1.2492237091064453,,
1,5349,1.0537757873535156,,
1,5399,1.3164558410644531,,
1,5449,1.1786136627197266,,
1,5499,1.1139297485351562,,
1,5549,1.3717117309570312,,
1,5599,1.514984130859375,,
1,5649,1.8624343872070312,,
1,5699,1.4385080337524414,,
1,5749,1.64990234375,,
1,5799,1.0569114685058594,,
1,5849,0.9339981079101562,,
1,5899,1.267796516418457,,
1,5949,1.6156158447265625,,
1,5999,1.646484375,,
1,6049,1.3969268798828125,,
1,6099,1.2610149383544922,,
1,6149,2.12432861328125,,
1,6199,0.9552173614501953,,
